"add authority control, addedunderlinkedtag",safe,Ser Amantio di Nicolao,"{{Multiple issues|
{{Underlinked|date=April 2020}}
{{BLP sources|date=January 2017}}
}}

'''David Hyerle''' is an author and creator of a thought-organization methodology called \"[[Thinking Maps]]\" that is popular in public schools in the United States.<ref>[http://www2.seresc.net/dft.html Thinking Maps<!-- Bot generated title -->] {{webarchive |url=https://web.archive.org/web/20060519011007/http://www2.seresc.net/dft.html |date=May 19, 2006 }}</ref>

==References==
{{reflist}}


{{authority control}}

{{DEFAULTSORT:Hyerle, David}}
[[Category:American male writers]]
[[Category:Living people]]
[[Category:Year of birth missing (living people)]]


{{US-writer-stub}}","{{BLP sources|date=January 2017}}

'''David Hyerle''' is an author and creator of a thought-organization methodology called \"[[Thinking Maps]]\" that is popular in public schools in the United States.<ref>[http://www2.seresc.net/dft.html Thinking Maps<!-- Bot generated title -->] {{webarchive |url=https://web.archive.org/web/20060519011007/http://www2.seresc.net/dft.html |date=May 19, 2006 }}</ref>

==References==
{{reflist}}

{{DEFAULTSORT:Hyerle, David}}
←Changed redirect target fromVenture capital#Venture capitalisttoVenture capital#Firms and funds,safe,OvertAnalyzer,"#REDIRECT [[Venture capital#Firms and funds]]

[[Category:Private equity and venture capital investors|+]]","#REDIRECT [[Venture capital#Venture capitalist]]

[[Category:Private equity and venture capital investors|+]]",Venture capital fund,//en.wikipedia.org/w/index.php?title=Venture_capital_fund&redirect=no
←Changed redirect target fromList of tallest buildings in EuropetoList of tallest buildings in the European Union,safe,LordParsifal,"#REDIRECT [[List of tallest buildings in the European Union]]","#REDIRECT [[List of tallest buildings in Europe]]",List of tallest buildings in the EU,//en.wikipedia.org/w/index.php?title=List_of_tallest_buildings_in_the_EU&redirect=no
→‎top:R from subpage and CamelCase,safe,1234qwer1234qwer4,"#REDIRECT [[List of trigonometric identities]]

{{R shell|
{{R from subpage}}
{{R from CamelCase}}","#REDIRECT [[List of trigonometric identities]]",TrigonometricFunctions/Trigonometric Identities,//en.wikipedia.org/w/index.php?title=TrigonometricFunctions/Trigonometric_Identities&redirect=no
categories,safe,"Crouch, Swale","#redirect [[Braintree, Essex]]
[[Category:Former civil parishes in Essex]]
[[Category:Unparished areas in Essex]]
[[Category:Braintree District]]","#redirect [[Braintree, Essex]]
[[Category:Former civil parishes in Essex]]",Braintree and Bocking,//en.wikipedia.org/w/index.php?title=Braintree_and_Bocking&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[List of trigonometric identities]]

{{R from subpage}}","#REDIRECT [[List of trigonometric identities]]",Trigonometric Function/Trigonometric Identities,//en.wikipedia.org/w/index.php?title=Trigonometric_Function/Trigonometric_Identities&redirect=no
"→‎top:R from subpage, replaced: {{R from CamelCase}} → {{R from subpage}}",safe,1234qwer1234qwer4,"#REDIRECT [[Politics of Algeria]]

{{R from subpage}}","#REDIRECT [[Politics of Algeria]]

{{R from CamelCase}}",Algeria/Government,//en.wikipedia.org/w/index.php?title=Algeria/Government&redirect=no
"→‎top:R from subpage, replaced: {{R from CamelCase}} → {{R from subpage}}",safe,1234qwer1234qwer4,"#REDIRECT [[Geography of Algeria]]

{{R from subpage}}","#REDIRECT [[Geography of Algeria]]

{{R from CamelCase}}",Algeria/Geography,//en.wikipedia.org/w/index.php?title=Algeria/Geography&redirect=no
"→‎top:R from subpage, replaced: {{R from CamelCase}} → {{R from subpage}}",safe,1234qwer1234qwer4,"#REDIRECT [[History of Algeria]]

{{R from subpage}}","#REDIRECT [[History of Algeria]]

{{R from CamelCase}}",Algeria/Background,//en.wikipedia.org/w/index.php?title=Algeria/Background&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[Tokelau#History]]

{{R shell|
{{R from subpage}}
{{R avoided double redirect|History of Tokelau}}
{{R to section}}
}}","#REDIRECT [[Tokelau]]",Tokelau/History,//en.wikipedia.org/w/index.php?title=Tokelau/History&redirect=no
R from misspelling,safe,Gorobay,"#REDIRECT [[Gautama Buddha]]

{{Redirect category shell|1=
{{R from misspelling|Buddha}}
}}","#REDIRECT [[Gautama Buddha]]

{{Redirect category shell|1=
{{R from misspelling}}
}}",Buddah,//en.wikipedia.org/w/index.php?title=Buddah&redirect=no
R from misspelling,safe,Gorobay,"#REDIRECT [[Gautama Buddha]]

{{Redirect category shell|1=
{{R from misspelling|Buddha}}
}}","#REDIRECT [[Gautama Buddha]]

{{Redirect category shell|1=
{{R from misspelling}}
}}",Bhudda,//en.wikipedia.org/w/index.php?title=Bhudda&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[Telecommunications in Switzerland]]

{{R from subpage}}","#REDIRECT [[Telecommunications in Switzerland]]",Switzerland/Communications,//en.wikipedia.org/w/index.php?title=Switzerland/Communications&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[Foreign relations of Eswatini]]

{{R from subpage}}","#REDIRECT [[Foreign relations of Eswatini]]",Swaziland/Transnational issues,//en.wikipedia.org/w/index.php?title=Swaziland/Transnational_issues&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[Foreign_relations_of_Suriname]]

{{R from subpage}}","#REDIRECT [[Foreign_relations_of_Suriname]]",Suriname/Transnational issues,//en.wikipedia.org/w/index.php?title=Suriname/Transnational_issues&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[Telecommunications in Tajikistan]]

{{R from subpage}}","#REDIRECT [[Telecommunications in Tajikistan]]",Tajikistan/Communications,//en.wikipedia.org/w/index.php?title=Tajikistan/Communications&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[Foreign relations of Taiwan]]

{{R from subpage}}","#REDIRECT [[Foreign relations of Taiwan]]",Taiwan/Transnational issues,//en.wikipedia.org/w/index.php?title=Taiwan/Transnational_issues&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[Foreign_relations_of_Sweden]]

{{R from subpage}}","#REDIRECT [[Foreign_relations_of_Sweden]]",Sweden/Transnational issues,//en.wikipedia.org/w/index.php?title=Sweden/Transnational_issues&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[Telecommunications in Suriname]]

{{R from subpage}}","#REDIRECT [[Telecommunications in Suriname]]",Suriname/Communications,//en.wikipedia.org/w/index.php?title=Suriname/Communications&redirect=no
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[Politics of the Republic of China]]

{{R from subpage}}","#REDIRECT [[Politics of the Republic of China]]",Taiwan/Government,//en.wikipedia.org/w/index.php?title=Taiwan/Government&redirect=no
